Airplane ID,Name,IATA code,ICAO code
1,Aerospatiale (Nord) 262,ND2,N262
2,Aerospatiale (Sud Aviation) Se.210 Caravelle,CRV,S210
3,Aerospatiale SN.601 Corvette,NDC,S601
4,Aerospatiale/Alenia ATR 42-300,AT4,AT43
5,Aerospatiale/Alenia ATR 42-500,AT5,AT45
6,Aerospatiale/Alenia ATR 42-600,ATR,AT46
7,Aerospatiale/Alenia ATR 72,AT7,AT72
8,Airbus A300,AB3,A30B
9,Airbus A300-600,AB6,A306
10,Airbus A300-600ST Super Transporter / Beluga,ABB,A3ST
11,Airbus A310,310,A310
12,Airbus A318,318,A318
13,Airbus A319,319,A319
14,Airbus A319neo,31N,A19N
15,Airbus A320,320,A320
16,Airbus A320neo,32N,A20N
17,Airbus A321,321,A321
18,Airbus A321neo,32Q,A21N
19,Airbus A330-200,332,A332
20,Airbus A330-300,333,A333
21,Airbus A330-800neo,338,A338
22,Airbus A330-900neo,339,A339
23,Airbus A340-200,342,A342
24,Airbus A340-300,343,A343
25,Airbus A340-500,345,A345
26,Airbus A340-600,346,A346
27,Airbus A350-1000,351,A35K
28,Airbus A350-900,359,A359
29,Airbus A380-800,388,A388
30,Antonov AN-12,ANF,AN12
31,Antonov AN-124 Ruslan,A4F,A124
32,Antonov AN-140,A40,A140
33,Antonov An-148,A81,A148
34,Antonov An-158,A58,A158
35,Antonov An-225 Mriya,A25,A225
36,Antonov AN-24,AN4,AN24
37,Antonov AN-26,A26,AN26
38,Antonov AN-28,A28,AN28
39,Antonov AN-30,A30,AN30
40,Antonov AN-32,A32,AN32
41,Antonov AN-72,AN7,AN72
42,Avro RJ100,AR1,RJ1H
43,Avro RJ70,AR7,RJ70
44,Avro RJ85,AR8,RJ85
45,BAe 146-100,141,B461
46,BAe 146-200,142,B462
47,BAe 146-300,143,B463
48,Beechcraft 1900,BEH,B190
49,Bell 212,BH2,B212
50,Boeing 707,703,B703
51,Boeing 717,717,B712
52,Boeing 720B,B72,B720
53,Boeing 727-100,721,B721
54,Boeing 727-200,722,B722
55,Boeing 737 MAX 7,7M7,B37M
56,Boeing 737 MAX 8,7M8,B38M
57,Boeing 737 MAX 9,7M9,B39M
58,Boeing 737-200,732,B732
59,Boeing 737-300,733,B733
60,Boeing 737-400,734,B734
61,Boeing 737-500,735,B735
62,Boeing 737-600,736,B736
63,Boeing 737-700,73G,B737
64,Boeing 737-800,738,B738
65,Boeing 737-900,739,B739
66,Boeing 747 LCF Dreamlifter,74B,BLCF
67,Boeing 747-100,741,B741
68,Boeing 747-200,742,B742
69,Boeing 747-300,743,B743
70,Boeing 747-400,744,B744
71,Boeing 747-400D,74J,B74D
72,Boeing 747-8,748,B748
73,Boeing 747SP,74L,B74S
74,Boeing 747SR,74R,B74R
75,Boeing 757-200,752,B752
76,Boeing 757-300,753,B753
77,Boeing 767-200,762,B762
78,Boeing 767-300,763,B763
79,Boeing 767-400,764,B764
80,Boeing 777-200,772,B772
81,Boeing 777-200LR,77L,B77L
82,Boeing 777-300,773,B773
83,Boeing 777-300ER,77W,B77W
84,Boeing 777-8,778,B778
85,Boeing 777-9,779,B779
86,Boeing 787-10,78J,B78X
87,Boeing 787-8,788,B788
88,Boeing 787-9,789,B789
89,Bombardier CS100,CS1,BCS1
90,Bombardier CS300,CS3,BCS3
91,Bombardier Global Express,CCX,GLEX
92,British Aerospace (BAC) One Eleven,B11,BA11
93,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900,H25,H25B
94,British Aerospace 125-1000 series / Hawker/Raytheon 1000,H25,H25C
95,British Aerospace ATP,ATP,ATP
96,British Aerospace Jetstream 31,J31,JS31
97,British Aerospace Jetstream 32,J32,JS32
98,British Aerospace Jetstream 41,J41,JS41
99,Canadair Challenger,CCJ,CL60
100,Canadair CL-44,CL4,CL44
101,Canadair Regional Jet 100,CR1,CRJ1
102,Canadair Regional Jet 1000,CRK,CRJX
103,Canadair Regional Jet 200,CR2,CRJ2
104,Canadair Regional Jet 700,CR7,CRJ7
105,Canadair Regional Jet 900,CR9,CRJ9
106,Cessna 172,CN1,C172
107,Cessna 182 Skylane,CN1,C182
108,Cessna 208 Caravan,CN1,C208
109,Cessna 210 Centurion,CN1,C210
110,Cessna Citation CJ3,CNJ,C25B
111,Cessna Citation CJ4,CNJ,C25C
112,Cessna Citation Excel,CNJ,C56X
113,Cessna Citation I,CNJ,C500
114,Cessna Citation II,CNJ,C550
115,Cessna Citation Mustang,CNJ,C510
116,Cessna Citation Sovereign,CNJ,C680
117,Cessna Citation X,CNJ,C750
118,Concorde,SSC,CONC
119,Dassault Falcon 2000,D20,F2TH
120,Dassault Falcon 50,DF3,FA50
121,Dassault Falcon 7X,DF7,FA7X
122,Dassault Falcon 900,DF9,F900
123,De Havilland Canada DHC-2 Beaver,DHP,DHC2
124,De Havilland Canada DHC-2 Turbo-Beaver,DHR,DH2T
125,De Havilland Canada DHC-3 Otter,DHL,DHC3
126,De Havilland Canada DHC-4 Caribou,DHC,DHC4
127,De Havilland Canada DHC-6 Twin Otter,DHT,DHC6
128,De Havilland Canada DHC-7 Dash 7,DH7,DHC7
129,De Havilland Canada DHC-8-100 Dash 8 / 8Q,DH1,DH8A
130,De Havilland Canada DHC-8-200 Dash 8 / 8Q,DH2,DH8B
131,De Havilland Canada DHC-8-300 Dash 8,DH3,DH8C
132,De Havilland Canada DHC-8-400 Dash 8Q,DH4,DH8D
133,De Havilland DH.104 Dove,DHD,DOVE
134,De Havilland DH.114 Heron,DHH,HERN
135,Douglas DC-10,D10,DC10
136,Douglas DC-3,D3F,DC3
137,Douglas DC-6,D6F,DC6
138,Douglas DC-8-50,D8T,DC85
139,Douglas DC-8-62,D8L,DC86
140,Douglas DC-8-72,D8Q,DC87
141,Douglas DC-9-10,D91,DC91
142,Douglas DC-9-20,D92,DC92
143,Douglas DC-9-30,D93,DC93
144,Douglas DC-9-40,D94,DC94
145,Douglas DC-9-50,D95,DC95
146,Embraer 170,E70,E170
147,Embraer 175 (long wing),E7W,E75L
148,Embraer 175 (short wing),E7W,E75S
149,Embraer 190,E90,E190
150,Embraer 195,E95,E195
151,Embraer E190-E2,290,E290
152,Embraer E195-E2,295,E295
153,Embraer EMB 110 Bandeirante,EMB,E110
154,Embraer EMB 120 Brasilia,EM2,E120
155,Embraer Legacy 600,ER3,E35L
156,Embraer Phenom 100,EP1,E50P
157,Embraer Phenom 300,EP3,E55P
158,Embraer RJ135,ER3,E135
159,Embraer RJ140,ERD,E135
160,Embraer RJ145,ER4,E145
161,Fairchild Dornier 328JET,FRJ,J328
162,Fairchild Dornier Do.228,D28,D228
163,Fairchild Dornier Do.328,D38,D328
164,Fokker 100,100,F100
165,Fokker 50,F50,F50
166,Fokker 70,F70,F70
167,Fokker F27 Friendship,F27,F27
168,Fokker F28 Fellowship,F21,F28
169,Gulfstream Aerospace G-159 Gulfstream I,GRS,G159
170,Gulfstream G280,GR3,G280
171,Gulfstream G650,GJ6,GLF6
172,Gulfstream IV,GJ4,GLF4
173,Gulfstream V,GJ5,GLF5
174,Gulfstream/Rockwell (Aero) Commander,ACP,AC68
175,Gulfstream/Rockwell (Aero) Turbo Commander,ACT,AC90
176,Harbin Yunshuji Y12,YN2,Y12
177,Hawker Siddeley HS 748,HS7,A748
178,Ilyushin IL114,I14,I114
179,Ilyushin IL18,IL8,IL18
180,Ilyushin IL62,IL6,IL62
181,Ilyushin IL76,IL7,IL76
182,Ilyushin IL86,ILW,IL86
183,Ilyushin IL96,I93,IL96
184,Learjet 35,LRJ,LJ35
185,Learjet 60,LRJ,LJ60
186,Lockheed L-1011 Tristar,L10,L101
187,Lockheed L-1049 Super Constellation,L49,CONI
188,Lockheed L-182 / 282 / 382 (L-100) Hercules,LOH,C130
189,Lockheed L-188 Electra,LOE,L188
190,McDonnell Douglas MD-11,M11,MD11
191,McDonnell Douglas MD-81,M81,MD81
192,McDonnell Douglas MD-82,M82,MD82
193,McDonnell Douglas MD-83,M83,MD83
194,McDonnell Douglas MD-87,M87,MD87
195,McDonnell Douglas MD-88,M88,MD88
196,McDonnell Douglas MD-90,M90,MD90
197,NAMC YS-11,YS1,YS11
198,Partenavia P.68,PN6,P68
199,Pilatus Britten-Norman BN-2A Mk III Trislander,BNT,TRIS
200,Pilatus Britten-Norman BN-2A/B Islander,BNI,BN2P
201,Pilatus PC-12,PL2,PC12
202,Pilatus PC-6 Turbo Porter,PL6,PC6T
203,Piper PA-31 Navajo,PA2,PA31
204,Piper PA-46,PAG,PA46
205,Saab 2000,S20,SB20
206,Saab SF340A/B,SF3,SF34
207,Shorts SC-5 Belfast,SHB,BELF
208,Shorts SC-7 Skyvan,SHS,SC7
209,Shorts SD.330,SH3,SH33
210,Shorts SD.360,SH6,SH36
211,Sikorsky S-58T,S58,S58T
212,Sikorsky S-61,S61,S61
213,Sikorsky S-76,S76,S76
214,Sikorsky S-92,S92,S92
215,Sukhoi Superjet 100-95,SU9,SU95
216,Tupolev Tu-134,TU3,T134
217,Tupolev Tu-154,TU5,T154
218,Tupolev Tu-204,T20,T204
219,Yakovlev Yak-40,YK4,YK40
220,Yakovlev Yak-42,YK2,YK42